Attributes	Close	Close	Volume	Volume
Symbols	BMO.TO	TRI.TO	BMO.TO	TRI.TO
Date				
2020-12-10	97.51	102.45	1365800.00	337900.00
2020-12-11	97.14	103.32	1220400.00	359700.00
2020-12-14	96.12	102.63	2631400.00	611300.00
2020-12-15	97.46	102.75	2656400.00	336000.00
2020-12-16	97.43	102.25	3019200.00	517000.00
2020-12-17	97.58	102.64	1554800.00	857300.00
2020-12-18	96.44	103.31	4353100.00	929600.00
2020-12-21	96.78	102.84	1409500.00	312900.00
2020-12-22	96.66	102.68	1229000.00	344200.00
2020-12-23	97.33	102.68	1842100.00	223100.00
2020-12-24	97.25	103.32	527600.00	114800.00
2020-12-29	97.14	104.56	2252900.00	366900.00
2020-12-30	96.61	104.60	977300.00	191100.00
2020-12-31	96.78	104.18	1037700.00	294300.00
2021-01-04	95.99	103.40	2617000.00	458300.00
2021-01-05	96.46	104.04	1663700.00	332200.00
2021-01-06	98.20	102.81	2975700.00	549800.00
2021-01-07	99.24	102.26	2872000.00	600800.00
2021-01-08	99.86	102.46	3451700.00	449300.00
2021-01-11	99.87	101.84	4246500.00	353200.00
2021-01-12	99.62	100.72	1479700.00	330800.00
2021-01-13	99.29	100.89	2301600.00	443300.00
2021-01-14	99.50	99.24	1711100.00	554900.00
2021-01-15	100.63	102.17	4344500.00	980400.00
2021-01-18	101.23	102.55	576200.00	154300.00
2021-01-19	100.50	102.50	2113900.00	462100.00
2021-01-20	99.55	103.82	4668800.00	351800.00
2021-01-21	98.20	103.02	4577600.00	232000.00
2021-01-22	97.60	103.72	2399000.00	248200.00
2021-01-25	98.14	105.89	2832300.00	394000.00
2021-01-26	98.05	104.96	2368600.00	265200.00
2021-01-27	97.05	102.50	3711000.00	386000.00
2021-01-28	98.13	104.93	5229300.00	342200.00
2021-01-29	95.12	104.27	4186300.00	540500.00
